PlotID,Longitude,Latitude,CellID,CellY,CellX,Country,Author,Date of recording,Releve area (m2),Location uncertainty (m),Dataset
1003501,4.677384,52.79915,7907362,52.79569387315,4.67902703895,Netherlands,,20-6-2004,16,5,Netherlands
1003503,4.673616,52.791022,7912761,52.78736053985,4.67069370565,Netherlands,,20-6-2004,4,5,Netherlands
1003507,4.666138,52.779698,7918160,52.77902720655,4.66236037235,Netherlands,,20-7-2004,9,5,Netherlands
1003538,4.646939,52.724363,7955958,52.72069387345,4.64569370575,Netherlands,,20-8-2000,4,5,Netherlands
1003606,6.555802,52.51338,8091187,52.51236054095,6.55402703145,Netherlands,,20-5-2000,9,5,Netherlands
1003687,3.51713,51.572607,8701023,51.57069387805,3.52069371025,Netherlands,,20-6-2002,4,5,Netherlands
1003688,3.515119,51.5728,8701022,51.57069387805,3.51236037695,Netherlands,,20-6-2002,170,5,Netherlands
1003690,3.519005,51.573633,8701023,51.57069387805,3.52069371025,Netherlands,,20-6-2002,4,5,Netherlands
1003691,3.518822,51.573404,8701023,51.57069387805,3.52069371025,Netherlands,,20-6-2002,4,5,Netherlands
1003714,3.721915,51.711724,8609247,51.71236054415,3.72069370945,Netherlands,,20-6-2002,4,5,Netherlands
1003749,5.536425,51.301681,8874065,51.30402721245,5.53736036885,Netherlands,,20-8-2002,20,5,Netherlands
1003767,5.546831,52.050779,8388066,52.05402720945,5.54569370215,Netherlands,,20-5-2004,4,5,Netherlands
1003772,5.801168,52.186117,8301697,52.18736054225,5.80402703445,Netherlands,,20-9-2002,4,5,Netherlands
1003773,5.80511,52.18041,8307097,52.17902720895,5.80402703445,Netherlands,,20-9-2002,100,5,Netherlands
1003774,5.805261,52.182704,8307097,52.17902720895,5.80402703445,Netherlands,,20-9-2002,100,5,Netherlands
1003777,5.722445,52.178031,8307087,52.17902720895,5.72069370145,Netherlands,,20-7-2002,9,5,Netherlands
1003778,5.721559,52.180005,8307087,52.17902720895,5.72069370145,Netherlands,,20-7-2002,9,5,Netherlands
1003780,5.80576,52.197709,8296297,52.19569387555,5.80402703445,Netherlands,,20-7-2002,4,5,Netherlands
1003880,5.949864,51.28606,8884915,51.28736054585,5.95402703385,Netherlands,,20-6-2000,4,5,Netherlands
1003882,5.824957,51.267355,8895700,51.27069387925,5.82902703435,Netherlands,,20-6-2000,4,5,Netherlands
1003960,6.013122,51.614506,8674322,51.61236054455,6.01236036695,Netherlands,,20-9-2003,4,5,Netherlands
1004011,5.935568,50.813516,9192713,50.81236054775,5.93736036725,Netherlands,,20-6-2001,9,5,Netherlands
1004060,7.083444,52.876119,7853651,52.87902720615,7.08736036265,Netherlands,,20-6-2000,4,5,Netherlands
1004244,5.846008,51.626831,8663502,51.62902721115,5.84569370095,Netherlands,,20-6-2006,9,5,Netherlands
1004245,5.849063,51.627547,8663502,51.62902721115,5.84569370095,Netherlands,,20-6-2006,9,10,Netherlands
1004284,4.71431,53.024337,7761566,53.02069387225,4.71236037215,Netherlands,,20-6-2005,4,5,Netherlands
