PlotID,Bio15,CWD,Bio5,Soil_ORC,Soil_CEC,Soil_PH
985461,1.41497334797082,411.726677456806,197,1.46426593403408,1.09342168516224,61.3375
985462,1.41497334797082,411.726677456806,197,1.46426593403408,1.09342168516224,61.3375
985463,1.41497334797082,411.726677456806,197,1.46426593403408,1.09342168516224,61.3375
985467,1.41497334797082,411.726677456806,197,1.46426593403408,1.09342168516224,61.3375
985468,1.41497334797082,418.538016969411,197,1.37600634275566,1.09473309375378,65.66875
985469,1.41497334797082,418.538016969411,197,1.37600634275566,1.09473309375378,65.66875
985471,1.41497334797082,411.229836322411,196,1.40876978663156,1.10572302206015,63.73125
985473,1.41497334797082,404.97513769187,196,1.25285303097989,1.10080117924497,66.225
985482,1.41497334797082,406.578137907765,197,1.43055876952276,1.15571549968396,67.36875
985489,1.39794000867204,428.296009453246,198,1.65573853782507,1.11540246640953,58.1875
985490,1.39794000867204,426.664513018966,199,1.63106308719312,1.1260908019156,59.25625
985491,1.41497334797082,428.761653620425,198,1.43486817668776,1.10101633628771,65.1375
985493,1.41497334797082,428.761653620425,198,1.43486817668776,1.10101633628771,65.1375
985495,1.41497334797082,428.761653620425,198,1.43486817668776,1.10101633628771,65.1375
985497,1.41497334797082,428.761653620425,198,1.43486817668776,1.10101633628771,65.1375
985499,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
985500,1.39794000867204,426.664513018966,199,1.63106308719312,1.1260908019156,59.25625
985501,1.39794000867204,428.296009453246,198,1.65573853782507,1.11540246640953,58.1875
985502,1.39794000867204,426.664513018966,199,1.63106308719312,1.1260908019156,59.25625
985504,1.41497334797082,427.982586221842,198,1.2452041104428,1.12952877385878,71.03125
985505,1.39794000867204,422.564712392682,198,1.3741753224649,1.09298366749333,66.1875
985507,1.39794000867204,422.564712392682,198,1.3741753224649,1.09298366749333,66.1875
985508,1.39794000867204,422.564712392682,198,1.3741753224649,1.09298366749333,66.1875
985509,1.39794000867204,422.564712392682,198,1.3741753224649,1.09298366749333,66.1875
985510,1.41497334797082,427.982586221842,198,1.2452041104428,1.12952877385878,71.03125
985512,1.39794000867204,422.564712392682,198,1.3741753224649,1.09298366749333,66.1875
985514,1.39794000867204,422.564712392682,198,1.3741753224649,1.09298366749333,66.1875
985515,1.39794000867204,418.348927620503,197,1.50531959147649,1.09385926150344,61.65
985520,1.41497334797082,414.311528026266,198,1.44976757541505,1.13173892866389,61.475
985521,1.41497334797082,414.311528026266,198,1.44976757541505,1.13173892866389,61.475
985522,1.41497334797082,414.311528026266,198,1.44976757541505,1.13173892866389,61.475
985526,1.39794000867204,432.01175614453,199,1.41382345217305,1.18804916683381,67.3375
985543,1.41497334797082,394.226187853309,195,1.47229924906244,1.10401739598211,61.9875
985562,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985563,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985565,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
